Word,File,WordStart,WordEnd,WordDur,CitePron,ActPron,S1,S1End,S1Dur,S2,S2End,S2Dur
kind,s0101a.words,59.938396999999995,60.118078000000004,0.179681,kaynd,kahnx,k,60.049595999999994,0.111199,ah,60.099093,0.049497
kind,s0101a.words,59.938396999999995,60.118078000000004,0.179681,kaynd,kahnx,k,60.049595999999994,0.111199,ah,60.099093,0.049497
two,s0101a.words,95.130228,95.370933,0.24070500000000003,tuw,tuw,t,95.276685,0.146457,uw,95.370933,0.094248
term,s0101a.words,99.419533,99.611419,0.191886,term,term,t,99.53547900000001,0.11594600000000001,er,99.565312,0.029833
cord,s0101a.words,108.032046,108.19681000000001,0.16476400000000002,kowrd,kahdx,k,108.15206,0.12001400000000001,ah,108.18325,0.03119
cord,s0101a.words,121.78480900000001,121.93533500000001,0.150526,kowrd,kowdx,k,121.885159,0.10035,ow,121.91363700000001,0.028477999999999996
kind,s0101a.words,124.010827,124.198645,0.187818,kaynd,kaynx,k,124.115187,0.10436,ay,124.168811,0.053624
kind,s0101a.words,124.010827,124.198645,0.187818,kaynd,kaynx,k,124.115187,0.10436,ay,124.168811,0.053624
ten,s0101a.words,125.40098400000001,125.60083999999999,0.199856,tehn,tehm,t,125.503879,0.102895,eh,125.535747,0.031868
kind,s0101a.words,126.100241,126.26803500000001,0.167794,kaynd,kahnx,k,126.20023,0.099672,ah,126.242269,0.042039
kind,s0101a.words,126.100241,126.26803500000001,0.167794,kaynd,kahnx,k,126.20023,0.099672,ah,126.242269,0.042039
come,s0101a.words,165.136897,165.343701,0.206804,kahm,kahm,k,165.24945300000002,0.11255599999999999,ah,165.280375,0.030922
kind,s0101a.words,235.532086,235.70905499999998,0.17696900000000002,kaynd,kahn,k,235.63718300000002,0.105097,ah,235.68329,0.046107
kind,s0101a.words,235.532086,235.70905499999998,0.17696900000000002,kaynd,kahn,k,235.63718300000002,0.105097,ah,235.68329,0.046107
talk,s0101a.words,345.518167,345.722345,0.204178,taak,taok,t,345.59682000000004,0.078653,ao,345.683609,0.086789
top,s0101a.words,404.739959,405.01656299999996,0.276604,taap,taap,t,404.843021,0.10306199999999999,aa,404.926563,0.08354199999999999
page,s0101a.words,407.45077799999996,407.73555600000003,0.28477800000000003,peyjh,peyjh,p,407.538923,0.088145,ey,407.66504,0.126117
two,s0101a.words,502.244696,502.431158,0.186462,tuw,tuw,t,502.367422,0.122726,uw,502.431158,0.063736
pass,s0101a.words,529.332547,529.740729,0.408182,paes,paes,p,529.436288,0.10374100000000001,ae,529.613257,0.17696900000000002
time,s0101a.words,531.398546,531.694174,0.295628,taym,taymz,t,531.5239849999999,0.12543900000000002,ay,531.602638,0.0786529999999
type,s0101a.words,550.275287,550.509212,0.233925,tayp,tayp,t,550.36425,0.0889629999999,ay,550.425134,0.060884
kind,s0101a.words,553.935367,554.306935,0.371568,kaynd,kaynd,k,554.108947,0.17357999999999998,ay,554.188956,0.080009
kind,s0101a.words,553.935367,554.306935,0.371568,kaynd,kaynd,k,554.108947,0.17357999999999998,ay,554.188956,0.080009
care,s0101a.words,588.546793,588.953619,0.406826,kehr,kehr,k,588.710879,0.16408599999999998,eh,588.816125,0.105246
caught,s0101b.words,7.161553,7.406544,0.244991,kaat,kaatq,k,7.298896000000001,0.137343,aa,7.374064,0.075168
kind,s0101b.words,13.04228,13.263059,0.220779,kaynd,kaynx,k,13.163763000000001,0.121483,ay,13.229651,0.065888
kind,s0101b.words,13.04228,13.263059,0.220779,kaynd,kaynx,k,13.163763000000001,0.121483,ay,13.229651,0.065888
care,s0101b.words,59.915875,60.232321999999996,0.316447,kehr,kaer,k,60.050452,0.134577,ae,60.162029000000004,0.111577
care,s0101b.words,90.13303499999999,90.439964,0.306929,kehr,kehr,k,90.27525,0.142215,eh,90.389491,0.11424100000000001
care,s0101b.words,109.0865,109.44743799999999,0.36093800000000004,kehr,kehr,k,109.2565,0.17,eh,109.375611,0.119111
kind,s0101b.words,127.8031,127.96140600000001,0.158306,kaynd,kaanx,k,127.893249,0.090149,aa,127.939423,0.046174
kind,s0101b.words,127.8031,127.96140600000001,0.158306,kaynd,kaanx,k,127.893249,0.090149,aa,127.939423,0.046174
card,s0101b.words,133.387123,133.729397,0.34227399999999997,kaard,kaard,k,133.549098,0.161975,aa,133.63118500000002,0.08208700000000001
time,s0101b.words,297.631419,297.847569,0.21615,taym,taym,t,297.706113,0.07469400000000001,ay,297.786756,0.08064299999999999
talk,s0101b.words,338.86154799999997,339.15655899999996,0.295011,taak,taak,t,338.959885,0.098337,aa,339.059366,0.099481
kind,s0101b.words,344.999637,345.211177,0.21154,kaynd,kaynx,k,345.124125,0.12448800000000002,ay,345.180303,0.056178
kind,s0101b.words,344.999637,345.211177,0.21154,kaynd,kaynx,k,345.124125,0.12448800000000002,ay,345.180303,0.056178
come,s0101b.words,398.601209,398.783938,0.182729,kahm,kahm,k,398.686311,0.085102,ah,398.74181200000004,0.055501
two,s0101b.words,475.39784699999996,475.717028,0.319181,tuw,tuw,t,475.537749,0.139902,uw,475.717028,0.179279
two,s0101b.words,528.0941230000001,528.513933,0.41981,tuw,tuw,t,528.269856,0.175733,uw,528.513933,0.244077
cuff,s0102a.words,33.16925,33.417938,0.24868800000000002,kahf,kahf,k,33.279521,0.11027100000000001,ah,33.34925,0.069729
cuff,s0102a.words,35.032463,35.275954999999996,0.24349200000000001,kahf,kaef,k,35.13925,0.10678699999999999,ae,35.214324,0.075074
kind,s0102a.words,187.84319399999998,188.089875,0.24668099999999998,kaynd,kaynd,k,187.949875,0.106681,ay,188.02913700000002,0.079262
kind,s0102a.words,187.84319399999998,188.089875,0.24668099999999998,kaynd,kaynd,k,187.949875,0.106681,ay,188.02913700000002,0.079262
kind,s0102a.words,206.075671,206.512995,0.437324,kaynd,kaynx,k,206.381563,0.305892,ay,206.470643,0.08907999999999999
kind,s0102a.words,206.075671,206.512995,0.437324,kaynd,kaynx,k,206.381563,0.305892,ay,206.470643,0.08907999999999999
time,s0102a.words,225.029125,225.30573199999998,0.276607,taym,taym,t,225.109125,0.08,ay,225.259125,0.15
time,s0102a.words,269.505756,269.894875,0.389119,taym,taym,t,269.640061,0.134305,ay,269.814037,0.173976
time,s0102a.words,369.618971,369.89167799999996,0.27270700000000003,taym,taym,t,369.73020299999996,0.111232,ay,369.827089,0.096886
take,s0102a.words,421.17924800000003,421.3882,0.208952,teyk,teyk,t,421.296015,0.11676700000000001,ey,421.347229,0.051213999999999996
care,s0102a.words,421.3882,421.66475499999996,0.276555,kehr,kehr,k,421.530937,0.142737,eh,421.59100700000005,0.060070000000000005
cut,s0102a.words,432.320625,432.562375,0.24175,kaht,kaht,k,432.47697900000003,0.156354,ah,432.524704,0.047725
time,s0102a.words,434.887704,435.20048899999995,0.312785,taym,taym,t,435.03039800000005,0.14269400000000002,ay,435.131996,0.10159800000000001
cost,s0102a.words,463.61607999999995,464.153141,0.537061,kaast,kaastah,k,463.781055,0.164975,aa,463.940004,0.158949
cost,s0102a.words,464.98161,465.424742,0.44313199999999997,kaast,kaast,k,465.10443499999997,0.122825,aa,465.28144699999996,0.177012
time,s0102a.words,474.385416,474.69488499999994,0.309469,taym,taym,t,474.501625,0.11620899999999999,ay,474.619023,0.117398
pal,s0102a.words,486.590913,487.10268099999996,0.511768,pael,pael,p,486.728562,0.137649,ae,486.978653,0.250091
put,s0102a.words,495.068297,495.28684000000004,0.218543,puht,puht,p,495.18975,0.12145299999999999,uh,495.238275,0.048525
pick,s0102a.words,519.196077,519.506563,0.31048600000000004,pihk,pihk,p,519.30383,0.107753,ih,519.3684820000001,0.064652
time,s0102a.words,521.2805,521.66482,0.38432,taym,taym,t,521.399029,0.118529,ay,521.572631,0.173602
two,s0102a.words,540.308186,540.491367,0.18318099999999998,tuw,tuw,t,540.4486870000001,0.140501,uw,540.491367,0.04268
care,s0102a.words,544.0826490000001,544.369188,0.286539,kehr,kehr,k,544.259188,0.176539,eh,544.309188,0.05
put,s0102a.words,567.453225,567.7044599999999,0.251235,puht,puhtq,p,567.59075,0.137525,uh,567.6521849999999,0.06143500000009999
care,s0102a.words,575.5894450000001,575.8070730000001,0.21762800000000002,kehr,kehr,k,575.720678,0.131233,eh,575.761562,0.040884
time,s0102b.words,59.140651,59.47079599999999,0.33014499999999997,taym,taym,t,59.24898,0.108329,ay,59.388259999999995,0.13928
part,s0102b.words,68.6985,68.943809,0.24530900000000003,paart,paartq,p,68.755078,0.056577999999999996,aa,68.84908100000001,0.094003
time,s0102b.words,68.943809,69.471079,0.52727,taym,taym,t,69.05014399999999,0.10633499999999999,ay,69.363782,0.31363800000000003
cost,s0102b.words,160.541846,161.040762,0.49891599999999997,kaast,kaas,k,160.753478,0.21163200000000001,aa,160.882293,0.128815
put,s0102b.words,164.726402,164.952346,0.225944,puht,puht,p,164.840017,0.11361500000000001,uh,164.886914,0.046897
type,s0102b.words,166.117844,166.391841,0.273997,tayp,tayp,t,166.21497,0.097126,ay,166.30391699999998,0.088947
talk,s0102b.words,213.641318,213.907567,0.26624899999999996,taak,taak,t,213.74675,0.105547,aa,213.83226800000003,0.085518
take,s0102b.words,218.78043399999999,219.01654700000003,0.23611300000000002,teyk,teyk,t,218.86461400000002,0.08417999999999999,ey,218.947767,0.08315299999999999
cause,s0102b.words,274.03927200000004,274.30602700000003,0.266755,kaaz,kaaz,k,274.11753500000003,0.077191,aa,274.247259,0.129724
talk,s0102b.words,434.864259,435.121743,0.257484,taak,taak,t,434.980375,0.117146,aa,435.043873,0.063498
type,s0102b.words,470.053804,470.38812800000005,0.33432399999999995,tayp,tayp,t,470.14620999999994,0.09240599999999999,ay,470.289492,0.143282
task,s0102b.words,470.502338,471.0734,0.571062,taesk,taesk,t,470.643555,0.141217,ae,470.81383099999994,0.170276
point,s0102b.words,510.419033,510.68558499999995,0.266552,poynt,poytq,p,510.56264100000004,0.14464100000000002,oy,510.63033099999996,0.06769
put,s0102b.words,512.356175,512.531108,0.174933,puht,puht,p,512.442959,0.086784,uh,512.477565,0.0346060000001
cord,s0103a.words,76.078856,76.240473,0.161617,kowrd,kaor,k,76.149992,0.071136,ao,76.194416,0.044424
time,s0103a.words,160.440542,160.966473,0.525931,taym,taym,t,160.53981299999998,0.099271,ay,160.743943,0.20413
took,s0103a.words,267.917264,268.075627,0.158363,tuhk,tuhk,t,267.958398,0.041134,uh,268.003644,0.045245999999999995
ten,s0103a.words,268.24529900000005,268.519863,0.274564,tehn,tehn,t,268.366642,0.121343,eh,268.45302200000003,0.08638
type,s0103a.words,326.665,326.925,0.26,tayp,tayp,t,326.825,0.16,ay,326.885,0.06
cause,s0103a.words,327.305,327.465,0.16,kaaz,kahz,k,327.385,0.08,ah,327.415,0.03
turn,s0103a.words,329.585,330.134301,0.549301,tern,tahrn,t,330.025,0.44,ah,330.055,0.03
talk,s0103a.words,349.134595,349.40056200000004,0.265967,taak,taok,t,349.290562,0.155967,ao,349.370562,0.08
care,s0103a.words,388.885688,389.215688,0.33,kehr,kehr,k,388.94568799999996,0.06,eh,389.085688,0.14
care,s0103a.words,392.75568799999996,392.985688,0.23,kehr,kehr,k,392.825688,0.07,eh,392.915688,0.09
call,s0201a.words,4.111000000000001,4.369,0.258,kaal,kaol,k,4.246,0.135,ao,4.3260000000000005,0.08
pass,s0201a.words,23.660999999999998,24.046999999999997,0.386,paes,paes,p,23.76,0.099,ae,23.956999999999997,0.19699999999999998
two,s0201a.words,40.595,40.760999999999996,0.166,tuw,tuw,t,40.696999999999996,0.102,uw,40.760999999999996,0.064
count,s0201a.words,188.396,188.602,0.20600000000000002,kawnt,kawn,k,188.498,0.102,aw,188.57299999999998,0.075
count,s0201a.words,198.350948,198.669,0.318052,kawnt,kawnt,k,198.528,0.178789,aw,198.606,0.078
kept,s0201a.words,237.609,237.829,0.22,kehpt,kehp,k,237.705,0.096,eh,237.74900000000002,0.044000000000000004
take,s0201b.words,6.3839999999999995,6.615324,0.23132399999999997,teyk,teyk,t,6.481,0.09699999999999999,ey,6.5729999999999995,0.092
take,s0201b.words,7.2620000000000005,7.471,0.209,teyk,teyk,t,7.331,0.069,ey,7.417999999999999,0.087
call,s0201b.words,184.315,184.641,0.326,kaal,kaol,k,184.416521,0.101521,ao+1,184.59099999999998,0.174479
