text,speaker
nice fiu ?,child
tape recorder ?,child
what's that ?,child
oh sjum ?,child
dad could we turn that ?,child
oh gwizumamez .,child
o o sjum out /.,child
can I ma with them .,child
can you fix them .,child
ga sjemm out .,child
what's over there .,child
what's that ?,child
can I go down there ?,child
I like that .,child
first give me .,child
give me ...,child
give me some right there .,child
I'll get ...,child
obwit door .,child
a mess .,child
can I have some of that ?,child
Brian in there ?,child
oh a dog .,child
do it .,child
can I get down ?,child
where are you ?,child
I take .,child
right here .,child
right here .,child
ma dawe te .,child
who do ?,child
what is that ?,child
this there .,child
try this ?,child
will mami ?,child
mami that too .,child
oh hurry up !,child
ma_may tilo .,child
ma_may oh .,child
ah wah wah !,child
oh Mommy .,child
where you mama ?,child
where are you ?,child
where are you Mom ?,child
can I go ?,child
can I go ?,child
can I go ?,child
can I go ?,child
I nap .,child
mommy get up .,child
who wanna get up ?,child
oh I click !,child
do too too .,child
I have toy them .,child
what them ?,child
what down .,child
hm hm ?,child
oh yeah .,child
I like I like that .,child
I like .,child
I go pee_pee .,child
pee pee !,child
I want to .,child
0what do do with that ?,child
oh yeah .,child
over there !,child
what's that's that .,child
what's that ?,child
oh taperecorder .,child
over here ?,child
over here that's a bell .,child
that's right .,child
here there one .,child
see that .,child
I wanna see that .,child
what is that ?,child
see that .,child
this is it .,child
here get .,child
here get .,child
I want .,child
what's that ?,child
what's that ?,child
what's them ?,child
it's a .,child
it's a man .,child
ghye gev ghye .,child
what do you wear ?,child
do you wear wear .,child
hey what's that ?,child
hey what's that ?,child
okay indye .,child
I do !,child
I do that !,child
what is ?,child
oh yeah .,child
there's kitty .,child
ma_may there .,child
ma_may kitty .,child
bo bo .,child
I want 0to go boom !,child
give me me .,child
no pillow .,child
ah you .,child
give me that .,child
I want that .,child
oh didide ?,child
oh yi beeyeh ?,child
oh mm .,child
dropped the spoon .,child
whas de dya .,child
there's the tape .,child
there's the tape .,child
ah dah .,child
tape recorder .,child
what is that ?,child
what is that ?,child
up uppy up .,child
I I shyam it .,child
I like the soldiers .,child
this a shoe .,child
are these guys over there ?,child
see see .,child
see see .,child
let's see out .,child
hm hm .,child
what's that ?,child
get outside !,child
oh see ya dya !,child
dseedsee that .,child
what's that ?,child
what's that ?,child
oh kitty .,child
I like that .,child
I like that .,child
I shut up .,child
oh yeah .,child
in there .,child
mm see ?,child
do de .,child
do da .,child
I have idea .,child
yeah ye !,child
yeah ye !,child
there kitty !,child
there kitty .,child
I ng oh .,child
oh yeah .,child
Daddy Daddy .,child
ah Da !,child
I want .,child
ah ya !,child
no game .,child
he's nice cat .,child
sima ba .,child
this there .,child
mm Dad .,child
gotta kiss there .,child
I don't know that .,child
I'm a scaredy cat .,child
that's me eye .,child
that's a problem ?,child
oh siwIsjE .,child
want kitty .,child
want meNwI .,child
want kitty .,child
this tjep ?,child
this kitty .,child
what do you say ?,child
this is a wheel ?,child
look it .,child
over there .,child
it's here !,child
I get .,child
and that that ?,child
stay here .,child
what ya ?,child
let me come out .,child
in there ?,child
this one there .,child
is this ?,child
what is that ?,child
you close that down ?,child
oh okay .,child
did you finished that ?,child
mm there .,child
yeah yeah !,child
I want that .,child
what are you doing there ?,child
put it down here .,child
if you /.,child
why does do this ?,child
do you really need ?,child
do you do you drop it ?,child
I hafta go .,child
is taperecorder off ?,child
I 0want taperecorder off .,child
Daddy you off .,child
play it again .,child
I want the lid down .,child
doo doo .,child
what's there ?,child
I want turned I want it turned on .,child
I want there .,child
mm go .,child
in there .,child
you show me there .,child
