,Line,Spkr,StTime,Content,EnTime
0,1,ATL_se0_ag1_f_01,0.4436,"They talking about, don't send him to his daddy.",2.4068
1,2,ATL_se0_ag1_f_01,2.4068,(pause 0.28),2.6829
2,3,ATL_se0_ag1_f_01,2.6829,You just need to go file for child support.,4.9538
3,4,ATL_int_01,5.1142,[/Oh man/.],5.6125
4,5,ATL_se0_ag1_f_01,5.1488,[Bye.],5.5995
5,6,ATL_se0_ag1_f_01,6.0026,Why?,6.3944
6,7,ATL_se0_ag1_f_01,6.3944,(pause 0.80),7.1901
7,8,ATL_se0_ag1_f_01,7.1901,Why?,7.5398
8,9,ATL_int_01,8.6665,"Okay, what's your name?",9.7375
9,10,ATL_se0_ag1_f_01,10.4043,/RD-NAME-2/,10.9287
10,11,ATL_se0_ag1_f_01,10.9287,(pause 0.52),11.4445
11,12,ATL_se0_ag1_f_01,11.4445,/RD-NAME-1/ what?,12.2015
12,13,ATL_se0_ag1_f_01,12.2015,(pause 0.48),12.684
13,14,ATL_se0_ag1_f_01,12.684,/RD-NAME-3/,13.8498
14,15,ATL_int_01,14.0973,Okay.,14.7678
15,16,ATL_int_01,14.7678,(pause 0.61),15.3758
16,17,ATL_int_01,15.3758,"And, uh,",16.3352
17,18,ATL_int_01,16.3352,(pause 0.39),16.7272
18,19,ATL_int_01,16.7272,are you a male or female?,17.9416
19,20,ATL_se0_ag1_f_01,18.6134,"I'm a girl, I think.",20.0219
20,21,ATL_int_01,20.2603,[<laugh>],21.3871
21,22,ATL_se0_ag1_f_01,20.4206,[I'm just playing.],21.3784
22,23,ATL_int_01,22.2491,Okay.,22.9279
23,24,ATL_int_01,22.9279,(pause 0.19),23.1153
24,25,ATL_int_01,23.1153,And your ethnicity?,24.3267
25,26,ATL_se0_ag1_f_01,25.4923,"Hum, I'm supposed to say, black or non-hispanic.",28.085
26,27,ATL_int_01,28.4926,Okay.,28.9851
27,28,ATL_int_01,28.9851,(pause 0.74),29.7261
28,29,ATL_int_01,29.7261,"Um, year of birth?",31.3451
29,30,ATL_se0_ag1_f_01,31.9894,<ts>,32.0798
30,31,ATL_se0_ag1_f_01,32.0798,(pause 0.19),32.2678
31,32,ATL_se0_ag1_f_01,32.2678,Ninety-five.,33.6038
32,33,ATL_int_01,34.1189,"Okay. Nineteen-ninety five,",35.8211
33,34,ATL_int_01,35.8211,(pause 0.33),36.1507
34,35,ATL_int_01,36.1507,that was a good year.,36.9489
35,36,ATL_int_01,36.9489,(pause 0.56),37.5093
36,37,ATL_int_01,37.5093,"Um, hometown?",38.7603
37,38,ATL_se0_ag1_f_01,39.4057,<ts>,39.6208
38,39,ATL_se0_ag1_f_01,39.6208,(pause 0.18),39.8019
39,40,ATL_se0_ag1_f_01,39.8019,Stone Mountain.,41.2228
40,41,ATL_int_01,41.2738,"Okay, we in the Mount with it.",42.7054
41,42,ATL_int_01,42.7054,(pause 0.66),43.3678
42,43,ATL_int_01,43.3678,Neighborhood.,44.1037
43,44,ATL_se0_ag1_f_01,44.5339,<ts>,44.6245
44,45,ATL_se0_ag1_f_01,44.6245,(pause 0.09),44.715
45,46,ATL_se0_ag1_f_01,44.715,[/RD-ADDRESS-4/],47.8455
46,47,ATL_int_01,45.7397,[/RD-ADDRESS-4/.],47.8652
47,48,ATL_int_01,47.9948,Okay.,48.6519
48,49,ATL_int_01,48.6519,(pause 0.10),48.7472
49,50,ATL_int_01,48.7472,"/RD-ADDRESS-6/, we- we in here. Let's see what else, um,",52.7699
50,51,ATL_int_01,52.7699,(pause 0.52),53.2851
51,52,ATL_int_01,53.2851,How many years have you been in the Atlanta area?,56.1552
52,53,ATL_se0_ag1_f_01,56.3131,"Psh, twenty-one.",57.8246
53,54,ATL_int_01,57.9604,Okay.,58.4869
54,55,ATL_se0_ag1_f_01,59.002,Twenty what?,59.9417
55,56,ATL_int_01,59.9299,"Twenty-one, Twenty-one.",61.0564
56,57,ATL_int_01,61.6168,"Okay. Let's see, any other places lived?",64.4999
57,58,ATL_se0_ag1_f_01,65.4096,"Nah, I don't know nothing [else.]",67.6528
58,59,ATL_int_01,67.5942,[You] ain't gonna claim nothing else?,69.1056
59,60,ATL_se0_ag1_f_01,69.117,"Nah, [this all I know.]",71.1096
60,61,ATL_int_01,69.8982,[Okay. <laugh>],71.5511
61,62,ATL_int_01,72.2582,"Alright, [let's see],",73.5942
62,63,ATL_se0_ag1_f_01,72.9715,Shut up.,73.6508
63,64,ATL_int_01,74.1829,"um,",74.9245
64,65,ATL_int_01,74.9245,(pause 2.01),76.9341
65,66,ATL_int_01,76.9341,your parent's birthplace?,78.3833
66,67,ATL_se0_ag1_f_01,78.6205,<ts>,78.7904
67,68,ATL_se0_ag1_f_01,78.7904,(pause 0.15),78.9375
68,69,ATL_se0_ag1_f_01,78.9375,"Ooh, my daddy was born",80.6471
69,70,ATL_se0_ag1_f_01,80.6471,(pause 1.00),81.6434
70,71,ATL_se0_ag1_f_01,81.6434,in- where my daddy was born at?,83.8172
71,72,ATL_se0_ag1_f_01,83.8172,(pause 0.17),83.9922
72,73,ATL_se0_ag1_f_01,83.9922,My mama was born in Florida. My daddy was born in Decatur.,87.0038
73,74,ATL_int_01,87.0145,Okay.,87.6286
74,75,ATL_se0_ag1_f_01,87.672,"Atlanta,",88.3978
75,76,ATL_se0_ag1_f_01,88.3978,(pause 0.31),88.7079
76,77,ATL_se0_ag1_f_01,88.7079,one of them.,89.3158
77,78,ATL_se0_ag1_f_01,89.3158,(pause 0.25),89.5639
78,79,ATL_se0_ag1_f_01,89.5639,[Think he at /Grady back/.],90.4658
79,80,ATL_int_01,89.5639,[Wow that-],90.4199
80,81,ATL_int_01,91.1828,that's a hell of a connection.,92.473
81,82,ATL_int_01,92.473,(pause 0.47),92.9445
82,83,ATL_int_01,92.9445,Let's see-,93.4717
83,84,ATL_int_01,93.4717,(pause 1.62),95.0925
84,85,ATL_int_01,95.0925,"And, uh,",95.9175
85,86,ATL_int_01,95.9175,(pause 0.85),96.7672
86,87,ATL_int_01,96.7672,"if you didn't know already, my name is /RD-NAME-3/ and I will be,",100.1664
87,88,ATL_int_01,100.1664,(pause 0.75),100.9132
88,89,ATL_int_01,100.9132,the interviewer of the day.,102.271
89,90,ATL_int_01,102.271,(pause 0.74),103.0154
90,91,ATL_int_01,103.0154,"And, um,",104.1319
91,92,ATL_int_01,104.1319,(pause 0.14),104.2745
92,93,ATL_int_01,104.2745,today is,105.695
93,94,ATL_int_01,105.695,(pause 0.32),106.0194
94,95,ATL_int_01,106.0194,I believe the twenty-sixth of January?,108.4571
95,96,ATL_se0_ag1_f_01,108.6928,Yep.,109.1332
96,97,ATL_int_01,109.5984,Okay.,110.0885
97,98,ATL_int_01,110.0885,(pause 0.96),111.0455
98,99,ATL_int_01,111.0455,"And, um,",111.9449
99,100,ATL_int_01,111.9449,(pause 1.24),113.1856
100,101,ATL_int_01,113.1856,the person I'm interviewing is,115.0154
101,102,ATL_int_01,115.0154,(pause 0.84),115.8589
102,103,ATL_int_01,115.8589,"friend of family, uh",117.7508
103,104,ATL_int_01,117.7508,(pause 1.30),119.0553
104,105,ATL_int_01,119.0553,I've- I call her my sister.,120.5253
105,106,ATL_int_01,120.5253,(pause 1.05),121.5798
106,107,ATL_int_01,121.5798,You know.,122.0383
107,108,ATL_int_01,122.0383,(pause 0.47),122.5044
108,109,ATL_int_01,122.5044,"She the folk around here, so.",124.3032
109,110,ATL_int_01,124.3032,(pause 0.65),124.9498
110,111,ATL_int_01,124.9498,"As we're continuing, um,",126.8913
111,112,ATL_int_01,126.8913,(pause 1.02),127.9086
112,113,ATL_int_01,127.9086,"let's see, the recording equipment we're using",130.3233
113,114,ATL_int_01,130.3233,(pause 0.67),130.9932
114,115,ATL_int_01,130.9932,is the Zoom Handy H five recorder.,134.6591
115,116,ATL_int_01,134.6591,(pause 0.26),134.9153
116,117,ATL_int_01,134.9153,"Okay, so now I'm finna get into some more",137.2351
117,118,ATL_int_01,137.2351,(pause 0.45),137.6879
118,119,ATL_int_01,137.6879,general,138.2765
119,120,ATL_int_01,138.2765,(pause 0.27),138.5482
120,121,ATL_int_01,138.5482,"topics, or whatever.",139.7845
121,122,ATL_int_01,139.7845,(pause 0.78),140.5599
122,123,ATL_int_01,140.5599,"Um, do you have any siblings?",142.4233
123,124,ATL_se0_ag1_f_01,143.0366,I have four brothers,144.5664
124,125,ATL_se0_ag1_f_01,144.5664,(pause 0.15),144.7162
125,126,ATL_se0_ag1_f_01,144.7162,and two sisters.,146.1505
126,127,ATL_int_01,146.1574,God damn.,146.6529
127,128,ATL_int_01,146.6529,(pause 0.49),147.1386
128,129,ATL_int_01,147.1386,<laugh>,147.5169
129,130,ATL_se0_ag1_f_01,147.5107,Yes.,148.2675
130,131,ATL_int_01,148.3605,<laugh>,149.1545
131,132,ATL_int_01,149.1545,(pause 0.80),149.9547
132,133,ATL_int_01,149.9547,"Okay, um",151.2014
133,134,ATL_int_01,151.2014,(pause 1.54),152.7422
134,135,ATL_int_01,152.7422,"are you close to any of your aunts, your uncles, grandparents, cousins?",156.5756
135,136,ATL_se0_ag1_f_01,157.483,"Psh,",158.0351
136,137,ATL_se0_ag1_f_01,158.0351,(pause 0.42),158.4569
137,138,ATL_se0_ag1_f_01,158.4569,all of 'em.,159.3687
138,139,ATL_se0_ag1_f_01,159.3687,(pause 0.20),159.5734
139,140,ATL_se0_ag1_f_01,159.5734,"But everybody just pretty much got they own thing going on, so. You know when you grow older,",163.9837
140,141,ATL_int_01,164.1033,Mm-hm.,164.612
141,142,ATL_se0_ag1_f_01,165.0586,"and you just, you know, start",166.8264
142,143,ATL_se0_ag1_f_01,166.8264,(pause 0.62),167.4467
143,144,ATL_se0_ag1_f_01,167.4467,"pretty much yeah. Doing your own thing, yeah.",169.444
144,145,ATL_se0_ag1_f_01,169.444,(pause 0.81),170.2584
145,146,ATL_se0_ag1_f_01,170.2584,"Can't really link up how you used to, but that don't mean we not close.",173.5459
146,147,ATL_int_01,173.67,"Ah, nah. Everybody got a life to live.",175.4316
147,148,ATL_int_01,175.4316,(pause 1.21),176.6368
148,149,ATL_int_01,176.6368,"But that's cool man. But when, uh, um, next time you think y'all having a family reunion?",180.6004
149,150,ATL_se0_ag1_f_01,180.7865,We [just] had one in July.,182.7546
150,151,ATL_int_01,180.8671,[Oh.],181.1897
151,152,ATL_int_01,182.7857,Okay.,183.3191
152,153,ATL_se0_ag1_f_01,183.7223,"Twenty-sixteen, so.",185.2172
153,154,ATL_int_01,185.4124,[/Still been a while/.],186.6066
154,155,ATL_se0_ag1_f_01,185.7506,[It might be twenty-],186.7555
155,156,ATL_se0_ag1_f_01,187.2659,"twenty-eighteen, before we have another one.",189.2261
156,157,ATL_int_01,189.3873,Okay.,189.8091
157,158,ATL_se0_ag1_f_01,190.4418,<cough>,190.8999
158,159,ATL_se0_ag1_f_01,190.8999,(pause 0.12),191.019
159,160,ATL_se0_ag1_f_01,191.019,[Excuse me.],191.6886
160,161,ATL_int_01,191.0598,[How was it?],191.6948
161,162,ATL_se0_ag1_f_01,192.464,<ts>,192.65
162,163,ATL_se0_ag1_f_01,192.65,(pause 0.20),192.8547
163,164,ATL_se0_ag1_f_01,192.8547,It wasn't as big as I thought it would be.,195.102
164,165,ATL_int_01,195.195,[Mm.],195.5858
165,166,ATL_se0_ag1_f_01,195.3935,[It was] like everybody- It wasn't good timing.,197.9044
166,167,ATL_se0_ag1_f_01,198.0235,People wasn't-,198.6748
167,168,ATL_int_01,199.0268,[Ah.],199.5789
168,169,ATL_se0_ag1_f_01,199.399,[A lot of] people didn't really show up.,200.8753
169,170,ATL_int_01,201.0055,[Yeah.],201.3095
170,171,ATL_se0_ag1_f_01,201.1668,[But] we still enjoyed the people that we did have.,203.7596
171,172,ATL_int_01,204.0033,Oh no [that's what's up.],205.2935
172,173,ATL_se0_ag1_f_01,204.6484,"[And it was more so] the older people. And that's who you wanna see before they check out, you know.",208.6741
173,174,ATL_int_01,208.6741,<laugh>,209.8278
174,175,ATL_int_01,209.8278,(pause 1.05),210.88
175,176,ATL_int_01,210.88,No that's for real. /That man-/,212.5279
176,177,ATL_int_01,212.5279,(pause 0.21),212.7388
177,178,ATL_int_01,212.7388,Fucking broke some shit over here.,214.1893
178,179,ATL_int_01,214.1893,(pause 0.62),214.8131
179,180,ATL_int_01,214.8131,Let's see,215.5239
180,181,ATL_int_01,215.5239,(pause 1.76),217.2811
181,182,ATL_int_01,217.2811,"Um, let's see, um, blah, blah, blah, blah, blah.",220.8688
182,183,ATL_int_01,220.8688,(pause 1.02),221.8917
183,184,ATL_int_01,221.8917,Why thank you.,222.808
184,185,ATL_int_01,222.808,(pause 0.80),223.6079
185,186,ATL_int_01,223.6079,Thank you.,224.1806
186,187,ATL_int_01,224.1806,(pause 2.96),227.1411
187,188,ATL_int_01,227.1411,"So, um-",227.9041
188,189,ATL_se0_ag1_f_01,227.9227,"<cough> Ooh, excuse me",229.1075
189,190,ATL_int_01,229.0951,"Four [siblings], um,",231.1544
190,191,ATL_se0_ag1_f_01,229.368,[<cough>],229.6471
191,192,ATL_int_01,233.594,"I know you say you had a lot of- what? Four brothers, two sister-",236.6582
192,193,ATL_int_01,236.6582,(pause 1.23),237.8863
193,194,ATL_int_01,237.8863,"Um,",238.3757
194,195,ATL_int_01,238.3757,(pause 0.19),238.5628
195,196,ATL_int_01,238.5628,"who's younger,",239.4947
196,197,ATL_int_01,239.4947,(pause 0.30),239.7924
197,198,ATL_int_01,239.7924,"or older, or where you reside in the mix?",242.1557
198,199,ATL_se0_ag1_f_01,242.5899,I'm,243.3157
199,200,ATL_se0_ag1_f_01,243.3157,(pause 0.18),243.4956
200,201,ATL_se0_ag1_f_01,243.4956,the oldest girl.,244.7019
201,202,ATL_se0_ag1_f_01,244.7019,(pause 0.25),244.9503
202,203,ATL_se0_ag1_f_01,244.9503,And the second oldest,246.3321
203,204,ATL_se0_ag1_f_01,246.3321,(pause 0.12),246.45
204,205,ATL_se0_ag1_f_01,246.45,out of them. I only got one big brother. Everybody else younger than me.,249.5824
205,206,ATL_se0_ag1_f_01,249.5824,(pause 0.37),249.9484
206,207,ATL_se0_ag1_f_01,249.9484,And me and him are only seven months.,251.94
207,208,ATL_se0_ag1_f_01,251.94,(pause 0.22),252.1646
208,209,ATL_se0_ag1_f_01,252.1646,"Then you got /RD-NAME-3/, eighteen.",254.1806
209,210,ATL_int_01,254.2674,Uh-huh.,254.5837
210,211,ATL_se0_ag1_f_01,254.5775,And then I got twins.,256.0867
211,212,ATL_se0_ag1_f_01,256.8283,"[They're eleven.] Then I got /RD-NAME-2/, he's four.",259.9369
212,213,ATL_int_01,256.8416,[Mm-hm.],257.1161
213,214,ATL_se0_ag1_f_01,260.479,And /RD-NAME-2/ is only,261.9791
214,215,ATL_se0_ag1_f_01,261.9791,(pause 0.39),262.3683
215,216,ATL_se0_ag1_f_01,262.3683,"October, November, December, January, February, /March/- She's only four months.",266.5248
216,217,ATL_int_01,267.9055,Okay. Out of all of those you got a favorite?,269.9265
217,218,ATL_se0_ag1_f_01,271.5846,"Can't really put a name on it, [but] you know, /RD-NAME-3.",275.8415
218,219,ATL_int_01,273.4074,[<laugh>],273.8716
219,220,ATL_int_01,273.8716,(pause 1.95),275.8184
220,221,ATL_int_01,275.8184,"Hey, okay.",277.4317
221,222,ATL_se0_ag1_f_01,277.4657,Cause we the closest.,279.4809
222,223,ATL_int_01,279.5998,"Nah, definitely.",280.3754
223,224,ATL_se0_ag1_f_01,280.7716,But-,281.3491
224,225,ATL_se0_ag1_f_01,281.3491,(pause 0.24),281.592
225,226,ATL_se0_ag1_f_01,281.592,"And my big brother, he grew up",283.2789
226,227,ATL_se0_ag1_f_01,283.2789,(pause 0.65),283.9299
227,228,ATL_se0_ag1_f_01,283.9299,"with his mom so,",285.2885
228,229,ATL_se0_ag1_f_01,285.2885,(pause 0.39),285.6791
229,230,ATL_se0_ag1_f_01,285.6791,ev- and then the other four,287.2698
230,231,ATL_se0_ag1_f_01,287.2698,(pause 0.40),287.6712
231,232,ATL_se0_ag1_f_01,287.6712,they just so much younger so.,289.5336
232,233,ATL_se0_ag1_f_01,289.5336,(pause 0.42),289.9582
233,234,ATL_se0_ag1_f_01,289.9582,"[And then] personally, me and /RD-NAME-3/ just always had a bond.",292.9981
234,235,ATL_int_01,289.9639,[<cough>],290.3346
235,236,ATL_int_01,293.9486,Okay. Did you feel like,295.2537
236,237,ATL_int_01,295.2537,(pause 0.19),295.4477
237,238,ATL_int_01,295.4477,/RD-NAME-3/ got away with more things than you did? Or you got away with more things than she did?,299.8442
238,239,ATL_se0_ag1_f_01,300.3392,"Um,",301.16
239,240,ATL_int_01,301.2213,<cough>,301.6129
240,241,ATL_se0_ag1_f_01,303.2772,I feel like she did,304.7053
241,242,ATL_se0_ag1_f_01,304.7053,(pause 0.27),304.9754
242,243,ATL_se0_ag1_f_01,304.9754,[because],306.2263
243,244,ATL_int_01,305.0254,[<cough>],305.286
244,245,ATL_se0_ag1_f_01,307.5676,I don't know. /RD-NAME-3/,308.9004
245,246,ATL_se0_ag1_f_01,308.9004,(pause 0.09),308.9882
246,247,ATL_se0_ag1_f_01,308.9882,/RD-NAME-3/ could get away with murder.,310.4943
247,248,ATL_se0_ag1_f_01,310.4943,(pause 0.17),310.6641
248,249,ATL_se0_ag1_f_01,310.6641,And Zaria-,311.751
249,250,ATL_se0_ag1_f_01,311.751,(pause 0.31),312.0561
250,251,ATL_se0_ag1_f_01,312.0561,Zaria conscious is not like mine. I-,314.2419
251,252,ATL_se0_ag1_f_01,314.2419,(pause 0.15),314.3882
252,253,ATL_se0_ag1_f_01,314.3882,I care.,314.9602
253,254,ATL_int_01,315.4074,[Mm.],315.5489
254,255,ATL_se0_ag1_f_01,315.5043,[/RD-NAME-3/] got a I don't give a fuck mindset.,317.6321
255,256,ATL_int_01,317.7623,Yeah.,318.2718
256,257,ATL_se0_ag1_f_01,318.4694,"And sometimes I'm like that too,",320.1224
257,258,ATL_se0_ag1_f_01,320.1224,(pause 0.13),320.2526
258,259,ATL_se0_ag1_f_01,320.2526,[but],320.7168
259,260,ATL_int_01,320.4167,[Mm-hm.],320.6889
260,261,ATL_se0_ag1_f_01,321.0734,"more so her, cause she don't even care.",323.3207
261,262,ATL_int_01,324.0845,"Oh, cool, cool, cool.",325.4694
262,263,ATL_int_01,325.4694,(pause 0.49),325.9639
263,264,ATL_int_01,325.9639,"So we- we speaking on,",327.5149
264,265,ATL_int_01,327.5149,(pause 1.13),328.6414
265,266,ATL_int_01,328.6414,"you know, fam, and that's good that you got a good relationship",331.5789
266,267,ATL_int_01,331.5789,(pause 0.80),332.3771
267,268,ATL_int_01,332.3771,with them.,333.0168
268,269,ATL_int_01,333.0168,(pause 0.24),333.2545
269,270,ATL_int_01,333.2545,"What about, um,",334.3641
270,271,ATL_int_01,334.3641,(pause 0.38),334.749
271,272,ATL_int_01,334.749,your relationship as far as your friends and stuff like that?,337.5563
