,Line,Spkr,StTime,Content,EnTime
0,1,DCA_int_04,0.5134,Your name and count to ten.,2.1128
1,2,DCA_se1_ag1_f_01,4.9012,My-,5.2043
2,3,DCA_int_04,5.5773,Yeah.,5.9457
3,4,DCA_int_04,5.9457,(pause 0.09),6.0389
4,5,DCA_int_04,6.0389,What's your name?,6.6218
5,6,DCA_se1_ag1_f_01,7.017,My name is /RD-NAME-6/.,9.1607
6,7,DCA_int_04,9.4697,Mm-hm.,9.9546
7,8,DCA_int_04,9.9546,(pause 1.68),11.6333
8,9,DCA_int_04,11.6333,And can you count to ten for me please?,13.442
9,10,DCA_se1_ag1_f_01,14.8495,One,15.4044
10,11,DCA_se1_ag1_f_01,15.4044,(pause 0.47),15.8754
11,12,DCA_se1_ag1_f_01,15.8754,two,16.4442
12,13,DCA_se1_ag1_f_01,16.4442,(pause 0.55),16.9945
13,14,DCA_se1_ag1_f_01,16.9945,three,17.5493
14,15,DCA_se1_ag1_f_01,17.5493,(pause 0.54),18.0891
15,16,DCA_se1_ag1_f_01,18.0891,four,18.7334
16,17,DCA_se1_ag1_f_01,18.7334,(pause 0.47),19.2035
17,18,DCA_se1_ag1_f_01,19.2035,five,19.889
18,19,DCA_se1_ag1_f_01,19.889,(pause 0.40),20.2853
19,20,DCA_se1_ag1_f_01,20.2853,six,20.9801
20,21,DCA_se1_ag1_f_01,20.9801,(pause 0.47),21.4464
21,22,DCA_se1_ag1_f_01,21.4464,seven,22.0852
22,23,DCA_se1_ag1_f_01,22.0852,(pause 0.47),22.5561
23,24,DCA_se1_ag1_f_01,22.5561,eight,22.9105
24,25,DCA_se1_ag1_f_01,22.9105,(pause 0.53),23.4421
25,26,DCA_se1_ag1_f_01,23.4421,nine,24.011
26,27,DCA_se1_ag1_f_01,24.011,(pause 0.32),24.3327
27,28,DCA_se1_ag1_f_01,24.3327,ten.,24.7524
28,29,DCA_int_04,25.1196,Good.,25.4413
29,30,DCA_int_04,25.4413,(pause 1.65),27.092
30,31,DCA_int_04,27.092,"Now, okay.",27.9033
31,32,DCA_int_04,27.9033,(pause 0.50),28.4023
32,33,DCA_int_04,28.4023,"Now, /RD-NAME-3/, what kind of games do you play around here?",31.7491
33,34,DCA_se1_ag1_f_01,32.8122,At home?,33.4231
34,35,DCA_int_04,33.6888,Mm-hm.,34.0572
35,36,DCA_se1_ag1_f_01,34.8965,"I play uh,",35.9597
36,37,DCA_se1_ag1_f_01,35.9597,(pause 1.09),37.0496
37,38,DCA_se1_ag1_f_01,37.0496,"football,",38.0149
38,39,DCA_se1_ag1_f_01,38.0149,(pause 1.97),39.9873
39,40,DCA_se1_ag1_f_01,39.9873,"jump rope,",40.7706
40,41,DCA_se1_ag1_f_01,40.7706,(pause 3.52),44.29
41,42,DCA_se1_ag1_f_01,44.29,<ts>,44.4019
42,43,DCA_se1_ag1_f_01,44.4019,(pause 0.14),44.5418
43,44,DCA_se1_ag1_f_01,44.5418,that's all.,45.1246
44,45,DCA_int_04,46.4629,What do you do when you jump rope?,47.9037
45,46,DCA_se1_ag1_f_01,48.7542,<ts>,48.8203
46,47,DCA_se1_ag1_f_01,48.8203,(pause 0.94),49.7584
47,48,DCA_se1_ag1_f_01,49.7584,We play double dutch.,51.127
48,49,DCA_int_04,51.3718,How do you do that?,52.0526
49,50,DCA_se1_ag1_f_01,53.5587,S-,53.6986
50,51,DCA_se1_ag1_f_01,53.6986,(pause 0.13),53.8245
