Feature,Language,Term
1,Afghan,tol
2,Afghan,au
3,Afghan,hajvan
4,Afghan,ira
5,Afghan,"de   sera,ta nezde"
6,Afghan,sa
7,Afghan,bad
8,Afghan,post
9,Afghan,"dzeka ce,vali ce"
10,Afghan,"nas,geda,xeta"
11,Afghan,loj
12,Afghan,murge
13,Afghan,cicel
14,Afghan,tor
15,Afghan,vina
16,Afghan,legedel
17,Afghan,"hed,hadukaj"
18,Afghan,tanaffus kavel
19,Afghan,"svadzedel,svadzel"
20,Afghan,tifl
21,Afghan,"tora uriadz,xera uriadz"
22,Afghan,sor
23,Afghan,ratlel
24,Afghan,smerel
25,Afghan,prekavel
26,Afghan,vradz
27,Afghan,mrel
28,Afghan,"kinel,kindel"
29,Afghan,"catal,xiren"
30,Afghan,spaj
31,Afghan,csel
32,Afghan,vuc
33,Afghan,pec
34,Afghan,garz
35,Afghan,gvaz
36,Afghan,"mdzeka,xak"
37,Afghan,xvarel
38,Afghan,hagej
39,Afghan,sterga
40,Afghan,lvedel
41,Afghan,liri
42,Afghan,gvari
43,Afghan,plar
44,Afghan,beredel
45,Afghan,"bena,baneka"
46,Afghan,lez
47,Afghan,dzangedel
48,Afghan,or
49,Afghan,kab
50,Afghan,pindze
51,Afghan,"gerzedel,caledel"
52,Afghan,"bahedel,tojedel"
53,Afghan,gul
54,Afghan,alvotel
55,Afghan,mih
56,Afghan,psa
57,Afghan,calor
58,Afghan,jax kedel
59,Afghan,meva
60,Afghan,verkavel
61,Afghan,sa
62,Afghan,vase
63,Afghan,sin
64,Afghan,kulma
65,Afghan,veste
66,Afghan,las
67,Afghan,de
68,Afghan,sar
69,Afghan,arvedel
70,Afghan,zre
71,Afghan,drund
72,Afghan,"delta,dale"
73,Afghan,vahel
74,Afghan,larel
75,Afghan,cenga
76,Afghan,skar kavel
77,Afghan,mere
78,Afghan,ze
79,Afghan,jax
80,Afghan,ka
81,Afghan,pe   ki
82,Afghan,vazel
83,Afghan,pohedel
84,Afghan,"kul,gadir,dzihil,dand,darjaca"
85,Afghan,xandel
86,Afghan,pana
87,Afghan,kin
88,Afghan,psa
89,Afghan,prevatelaj
90,Afghan,zvand kavel
91,Afghan,ina
92,Afghan,uzd
93,Afghan,"speza,speza"
94,Afghan,saraj
95,Afghan,der
96,Afghan,gvasa
97,Afghan,mor
98,Afghan,gar
99,Afghan,xla
100,Afghan,num
101,Afghan,tang
102,Afghan,nezde
103,Afghan,gara
104,Afghan,nevaj
105,Afghan,spa
106,Afghan,paza
107,Afghan,na
108,Afghan,zor
109,Afghan,jav
110,Afghan,bel
111,Afghan,"tan,kas"
112,Afghan,bazi kavel
113,Afghan,"ksel,istel"
114,Afghan,pori vahel
115,Afghan,baran urezi
116,Afghan,sur
117,Afghan,sam
118,Afghan,saj
119,Afghan,"rud,sind"
120,Afghan,lar
121,Afghan,"bex,risa"
122,Afghan,peraj
123,Afghan,vrost
124,Afghan,musel
125,Afghan,malga
126,Afghan,"sega,rig"
127,Afghan,vajel
128,Afghan,geredel
129,Afghan,bahr
130,Afghan,lidel
131,Afghan,dana
132,Afghan,dzoravel
133,Afghan,tere
134,Afghan,"muxtasar,land"
135,Afghan,vajel
136,Afghan,ksenastel
137,Afghan,post
138,Afghan,asman
139,Afghan,bidedel
140,Afghan,"kucnaj,vor"
141,Afghan,hys kavel
142,Afghan,dud
143,Afghan,"havar,saf,mustavi"
144,Afghan,mar
145,Afghan,vavra
146,Afghan,"co,ce kadr"
147,Afghan,"tukel,tukavel"
148,Afghan,matavel
149,Afghan,kseksel
150,Afghan,halalavel
151,Afghan,daredel
152,Afghan,storaj
153,Afghan,"largaj,lakara"
154,Afghan,dabara
155,Afghan,sam
156,Afghan,rudel
157,Afghan,lmar
158,Afghan,parsedel
159,Afghan,lambo vahel
160,Afghan,lakej
161,Afghan,"haga,huga"
162,Afghan,halta
163,Afghan,"duj,je"
164,Afghan,"pend,zaxim"
165,Afghan,naraj
166,Afghan,"fikr kavel,guman kavel"
167,Afghan,"da,daga"
168,Afghan,te
169,Afghan,dre
170,Afghan,"acavel,gurzavel"
171,Afghan,tarel
172,Afghan,zeba
173,Afghan,gas
174,Afghan,"vena,diraxt"
175,Afghan,gerzedel
176,Afghan,dva
177,Afghan,kangi kavel
178,Afghan,tlel
179,Afghan,tod
180,Afghan,mindzel
181,Afghan,obe
182,Afghan,muz
183,Afghan,"lund,xist"
184,Afghan,ce
185,Afghan,kela
186,Afghan,"ciri,cirta"
187,Afghan,spin
188,Afghan,cok
189,Afghan,prax
190,Afghan,sedza
191,Afghan,bad
192,Afghan,vazar
193,Afghan,vucavel
194,Afghan,de   sera
195,Afghan,sedza
196,Afghan,dzangal
197,Afghan,kirm
198,Afghan,tasi
199,Afghan,kal
200,Afghan,zer
1,Afrikaans,"al,alle"
2,Afrikaans,en
3,Afrikaans,dier
4,Afrikaans,as
5,Afrikaans,te
