ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
9,algorithmic,JJ,2,"0,1,1",{(algorithm)}>ic>,100,2,20697,24.08687068,1014,1472797,2,2.78E-05,0.006334003
14,alienating,VB,2,"0,1,1",{(alien)}>ate>,16.66666667,7,36793,23.71794872,937,2569118,3,2.65E-05,0.010505175
15,alienist,NN,2,"0,1,1",{(alien)}>ist>,83.33333333,7,36793,78.95878525,462,382916,3,6.27E-05,0.003707709
16,alienists,NN,2,"0,1,1",{(alien)}>ist>,83.33333333,7,36793,78.95878525,462,382916,3,6.27E-05,0.003707709
23,alimentary,JJ,2,"0,1,1",{(aliment)>ory>},0,1,41,67.6056338,356,725186,3,2.62E-05,0.00293527
31,ALKALOIDS,NN,2,"0,1,1",{(alkal)>oid>},50,3,1133,10.52631579,20,10578,3,9.45E-05,0.000154488
42,allegories,NN,2,"0,1,1",{(allegor)>y>},0,4,828,15.85513078,2486,3870233,1,4.99E-05,0.029816159
47,allergens,NN,2,"0,1,1",{(allerg)>en>},100,3,6835,48.76847291,204,655590,2,1.68E-05,0.001699367
67,allurements,NN,2,"0,1,1",{(allure)}>ment>,100,2,579,90.24390244,288,1423689,4,1.26E-05,0.002780782
82,aloofly,RB,2,"0,1,1",{(aloof)}>ly>,100,3,453,80.98032447,2898,3857999,2,4.48E-05,0.026726402
104,Alsatian,NN|JJ,2,"0,1,1",{(alsatia)}>n>,0,1,51,71.81208054,150,714837,1,1.12E-05,0.001235903
105,Alsatians,NN,2,"0,1,1",{(alsatia)}>n>,0,1,51,71.81208054,150,714837,1,1.12E-05,0.001235903
112,alterable,JJ,2,"0,1,1",{(alter)}>able>,100,5,19594,70.03444317,872,1227992,4,3.18E-05,0.006025027
113,altercated,VB|JJ,2,"0,1,1",{(alterc)>ate>},100,2,187,94.65811966,937,2569118,3,2.65E-05,0.010505175
114,altercates,VB,2,"0,1,1",{(alterc)>ate>},100,2,187,94.65811966,937,2569118,3,2.65E-05,0.010505175
115,altercating,VB|NN|JJ,2,"0,1,1",{(alterc)>ate>},100,2,187,94.65811966,937,2569118,3,2.65E-05,0.010505175
117,(altern)>ate>s,VB,2,"0,1,1",{(altern)>ate>)},16.66666667,7,60362,5.128205128,937,2569118,3,2.65E-05,0.010505175
125,altitudes,NN,2,"0,1,1",{(alti)>itude>},0,3,4712,3.225806452,32,16660,5,0.000120048,0.000308976
128,altruisms,NN,2,"0,1,1",{(altru)>ism>},33.33333333,4,1217,17.77777778,271,218200,3,5.50E-05,0.001853854
130,altruists,NN,2,"0,1,1",{(altru)>ist>},66.66666667,4,1217,60.52060738,462,382916,3,6.27E-05,0.003707709
139,alveolars,NN,2,"0,1,1",{(alveol)>ar>},0,3,60,67.1875,129,533962,2,7.49E-06,0.000617951
151,amalgamates,VB,2,"0,1,1",{(amalgam)}>ate>,33.33333333,4,969,57.37179487,937,2569118,3,2.65E-05,0.010505175
152,amalgamating,VB|NN|JJ,2,"0,1,1",{(amalgam)}>ate>,33.33333333,4,969,57.37179487,937,2569118,3,2.65E-05,0.010505175
163,amateurism,NN,2,"0,1,1",{(amateur)}>ism>,50,5,14878,88.88888889,271,218200,3,5.50E-05,0.001853854
