story_num,speaker,fname,utt_num,utt_translation,sent_num,words,sent_translation
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,1,Early in the day I spoke. BaIgipOhoasi spoke (carried sound). Is Kato sleepy?,1,"['ti', 'xahoa', '-gI', 'ti', 'iga', 'O', '-p', '-I', '-xi']",[Early in the] day I spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,1,Early in the day I spoke. BaIgipOhoasi spoke (carried sound). Is Kato sleepy?,2,"['hi', 'igA', 'xai', 'baIgipOhoasi']",BaIgipOhoasi [speaker's sister] spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,1,Early in the day I spoke. BaIgipOhoasi spoke (carried sound). Is Kato sleepy?,3,"['KatO', 'hi', 'o', '*', '-b', '-a', '-p', '-I', '-aag', '-oxoihI', 'KatO']","""Is Kato sleepy?""  [Lit: ""Kato-- her eyes flutter?""]"
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,2,He (TixohOI) fell by the fire.,1,"['hi', 'hoaI', 'ib', '-a', '-b', '-og', '-aA']","He [TixohOI, KatO's baby] almost fell in the fire."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,3,I spoke (carried sound). TixohOI is crying on the ground,1,"['ti', 'igA', 'xai', '-ai']",I spoke!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,3,I spoke (carried sound). TixohOI is crying on the ground,2,"['hi', 'big', 'a', '-I']","""He [TixohOI] is on the ground."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,3,I spoke (carried sound). TixohOI is crying on the ground,3,"['*', 'is', '-Aaga', '-haI', 'TixohOI']","""TixohOI is crying."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,4,He fell by the fire right now.,1,"['*', 'hoaI', '*', '-b', '-o', '-i', '-hI', 'pixAi', '-xIga']",[He] certainly fell by the fire just now.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,5,I spoke to Opisi. 'Did TixohOI burn himself just now?',1,"['ti', 'xaigIA', 'igA', 'xai', '-ai', 'xaI', 'Xopisi']",I thus spoke [to] Xopisi [speaker's husband]!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,5,I spoke to Opisi. 'Did TixohOI burn himself just now?',2,"['hi', 'o', '-b', '-a', '-hohI', 'pixAi', '-xIga', 'TixohOI']","""Did TixohOI fall down [and burn himself] just now?"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,6,He is by the fire crying.,1,"['*', 'hoai', 'Is', '-aagA', '-haI']","""[TixohOI] is by the fire crying."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,7,Did he burn himself right now?,1,"['hi', 'o', '-b', '-a', '-hoi', '-hI', 'pixAi', '-xIga']","""Did he fall down [and burn himself] just now?"""
