word,percent_known,freq,trial_order,rt,accuracy
que,98.83721,28628.87898,3,857,1.0
los,99.00662252,17235.71531,42,618,1.0
del,96.85628743,13085.31264,24,795,1.0
las,97.08171206,10957.88118,42,662,1.0
por,99.11243,10606.97919,54,875,1.0
con,98.68766404,9362.625186,68,576,1.0
una,99.79839,8685.849424,59,655,1.0
para,99.68847,6823.672288,78,746,1.0
como,98.57142857,5231.438007,97,762,1.0
más,98.49785,4209.352045000001,51,652,1.0
sus,88.95522,2998.288863,58,785,1.0
este,99.66777409,2290.402464,68,735,1.0
también,100.0,2047.460068,84,599,1.0
entre,98.80478088,1895.55893,84,727,1.0
sin,98.8024,1834.650314,2,748,1.0
ser,99.59267,1653.386584,20,728,1.0
son,95.12195,1564.0901199999996,10,957,1.0
cuando,99.60861057,1466.414092,77,759,1.0
dos,99.6350365,1433.951807,96,766,1.0
todo,99.31271,1380.8216619999996,31,563,1.0
desde,99.04153355,1274.437905,46,1914,1.0
muy,98.44237,1260.846699,94,595,1.0
hasta,99.10979228,1257.711267,6,930,1.0
parte,99.34641,1151.827879,33,1372,1.0
donde,99.62121212,929.280414,16,707,1.0
vez,99.29078,915.845168,18,543,1.0
gran,98.22134387,914.425288,87,801,1.0
presidente,98.5348,912.261353,24,562,1.0
porque,99.31973,883.519348,62,1468,1.0
después,100.0,883.467361,76,589,1.0
mismo,99.0,882.6095849999998,19,691,1.0
sólo,97.56944,870.594218,97,1324,1.0
uno,99.69231,868.202842,45,1272,1.0
qué,98.94366,825.063842,36,638,1.0
señor,99.60784,809.052017,1,2244,1.0
tiempo,99.76959,807.570404,37,779,1.0
contra,99.32432432,795.902696,73,602,1.0
comisión,99.62894249,777.548233,32,672,1.0
tanto,99.57717,765.2761830000002,77,689,1.0
bien,99.57264957,761.341459,21,718,1.0
nos,95.12894,755.684684,95,914,1.0
aunque,96.996997,744.845511,57,3630,1.0
cada,97.54768392,732.138075,53,598,1.0
así,99.65986395,731.683193,35,990,1.0
esto,98.04560261,729.005891,87,704,1.0
país,98.62069,727.858941,7,706,1.0
vida,99.4152,726.611266,98,619,1.0
año,99.67532468,724.392095,10,922,1.0
gobierno,99.82486865,717.6858440000002,78,487,1.0
estado,99.43019943,713.007064,73,627,1.0
tan,94.60227,709.6279450000002,12,782,1.0
forma,99.06015038,707.7694290000002,26,496,1.0
mayor,99.5889,687.013842,83,859,1.0
hoy,99.66666667,682.5462570000002,64,641,1.0
mundo,99.57895,680.967169,10,524,1.0
otro,99.38272,673.406391,50,613,1.0
tres,99.09366,667.2752389999998,65,494,1.0
ciudad,99.41860465,657.553775,13,666,1.0
lugar,99.80544747,653.869235,80,493,1.0
primera,99.5549,652.9919639999998,24,742,1.0
ahora,99.63898917,625.725075,57,504,1.0
hacer,99.30915371,620.779864,75,567,1.0
primer,98.97611,618.196788,31,864,1.0
antes,99.55156951,616.0978349999998,86,937,1.0
según,99.32886,612.5140200000002,56,1027,1.0
otra,99.29329,606.496589,72,591,1.0
grupo,99.63898917,606.366623,33,495,1.0
hecho,100.0,591.349039,28,1663,1.0
general,99.65714286,583.4406019999999,69,531,1.0
nombre,99.6732,577.813069,0,960,1.0
sino,87.46082,575.7888469999998,48,2112,0.0
política,99.22481,564.423311,49,613,1.0
cual,97.93103448,561.55106,75,790,1.0
además,100.0,560.9012290000002,22,30,1.0
unión,99.68153,560.638048,93,688,1.0
tras,96.2963,557.642329,5,846,1.0
menos,99.3266,549.496703,21,565,1.0
siempre,100.0,548.28152,50,610,1.0
trabajo,99.21875,545.974622,30,560,1.0
pues,99.06832,531.9642759999998,59,1570,1.0
efe,71.55688623,530.537898,68,3133,0.0
nuevo,99.59759,529.823084,47,446,1.0
embargo,99.6742671,520.511012,38,836,1.0
día,98.7854251,518.512783,86,682,1.0
poco,99.05956,512.683803,64,837,1.0
historia,99.68253968,506.003546,88,709,1.0
san,83.62069,504.343229,85,724,1.0
caso,98.98580122,503.537439,10,846,1.0
entonces,99.02597403,497.81243200000006,38,579,1.0
quien,100.0,495.755718,69,2569,1.0
mucho,99.71014,494.433313,79,746,1.0
toda,99.66667,491.067191,62,629,1.0
ante,93.9516129,491.060692,81,1206,1.0
estas,96.04316547,487.587348,55,720,1.0
mejor,99.16667,479.727648,52,525,1.0
decir,99.81024668,478.265529,57,570,1.0
hombre,99.38080495,478.220041,18,706,1.0
medio,99.59239,472.761464,30,625,1.0
consejo,100.0,472.73872,26,627,1.0
momento,99.64286,470.113405,80,555,1.0
eso,98.42767296,465.847267,4,788,1.0
nacional,99.38272,460.924801,54,1027,1.0
partido,99.61686,457.237013,18,654,1.0
nueva,99.63899,450.569751,70,626,1.0
guerra,99.72527473,446.495314,19,577,1.0
bajo,99.70238095,442.297409,55,687,1.0
nada,99.55457,440.2764360000001,1,1010,1.0
poder,99.5356,438.781825,16,505,1.0
tal,99.69325,434.525435,82,822,1.0
parlamento,99.35275,432.868368,36,2107,1.0
cuenta,99.7037037,422.721264,35,1455,1.0
acuerdo,98.10126582,414.546396,18,591,1.0
sistema,99.36306,413.727609,81,493,1.0
importante,100.0,411.622158,1,634,1.0
fin,99.23076923,411.407714,79,680,1.0
luego,98.96551724,405.198583,12,618,1.0
casa,99.59839357,403.590253,26,610,1.0
punto,99.23077,399.925208,56,1152,1.0
ver,99.37888,394.697322,8,1040,1.0
aquí,99.42528736,386.665416,23,928,1.0
siglo,99.66777,384.391009,26,1762,1.0
pasado,99.60212,384.335774,93,746,1.0
informe,98.24902724,383.923131,76,549,1.0
desarrollo,99.0228013,381.824179,47,731,1.0
