str,strnumbers,emphatic,gender,style,ageletters,age,region,Mall,banknumbers,bank,store,participant number,job,classnumbers,class
shtr,1,less,m,0,a,young,2,Easton,3,UWC,walmart,9,c,1,WC
str,0,less,m,0,a,young,2,Easton,3,UWC,walmart,10,c,1,WC
shtr,1,less,m,0,a,young,1,Polaris,2,MWC,sbarro,123,c,1,WC
str,0,less,m,0,a,young,3,CityCenter,2,MWC,ccfoodct,124,c,1,WC
str,0,less,m,0,b,mid,2,Easton,3,UWC,walmart,13,c,1,WC
shtr,1,less,m,0,b,mid,3,CityCenter,3,UWC,udf,14,c,1,WC
str,0,less,m,0,b,mid,3,CityCenter,2,MWC,ccfoodcrt,15,c,1,WC
str,0,less,m,0,b,mid,2,Easton,3,UWC,walmart,16,c,1,WC
shtr,1,less,m,0,c,old,2,Easton,3,UWC,walmart,3,c,1,WC
str,0,less,m,0,c,old,3,CityCenter,2,MWC,ccfoodcourt,4,c,1,WC
shtr,1,less,m,0,c,old,2,Easton,3,UWC,walmart,5,c,1,WC
shtr,1,less,m,0,c,old,1,Polaris,3,UWC,udf,18,c,1,WC
shtr,1,less,w,0,a,young,1,Polaris,2,MWC,sbarro,6,f,1,WC
shtr,1,less,w,0,a,young,2,Easton,3,UWC,walmart,27,c,1,WC
shtr,1,less,w,0,a,young,2,Easton,3,UWC,meijer,31,c,1,WC
shtr,1,less,w,0,a,young,3,CityCenter,2,MWC,ccfoodct,32,c,1,WC
shtr,1,less,w,0,b,mid,1,Polaris,3,UWC,udf,33,c,1,WC
shtr,1,less,w,0,b,mid,2,Easton,3,UWC,walmart,34,c,1,WC
str,0,less,w,0,b,mid,3,CityCenter,2,MWC,ccfoodct,35,c,1,WC
shtr,1,less,w,0,b,mid,2,Easton,3,UWC,walmart,36,c,1,WC
shtr,1,less,w,0,c,old,1,Polaris,3,UWC,udf,28,c,1,WC
str,0,less,w,0,c,old,2,Easton,3,UWC,walmart,29,c,1,WC
str,0,less,w,0,c,old,3,CityCenter,2,MWC,ccfoodct,30,c,1,WC
str,0,less,w,0,c,old,2,Easton,3,UWC,walmart,125,c,1,WC
str,0,less,m,0,a,young,1,Polaris,4,LMC,sears,1,c,2,LMC
shtr,1,less,m,0,a,young,2,Easton,3,UWC,meijer,11,c,1,WC
str,0,less,m,0,a,young,3,CityCenter,2,MWC,ccfoodcrt,12,c,1,WC
str,0,less,m,0,a,young,1,Polaris,4,LMC,sears,22,c,2,LMC
str,0,less,m,0,b,mid,1,Polaris,4,LMC,sears,17,c,2,LMC
shtr,1,less,m,0,b,mid,1,Polaris,4,LMC,sears,23,c,2,LMC
shtr,1,less,m,0,b,mid,2,Easton,2,MWC,dollarstore,25,c,1,WC
str,0,less,m,0,b,mid,3,CityCenter,2,MWC,ccfoodct,26,c,1,WC
str,0,less,m,0,c,old,1,Polaris,4,LMC,sears,2,c,2,LMC
str,0,less,m,0,c,old,1,Polaris,4,LMC,sears,19,c,2,LMC
str,0,less,m,0,c,old,2,Easton,2,MWC,gendollar,20,c,1,WC
str,0,less,m,0,c,old,3,CityCenter,2,MWC,ccfoodct,21,c,1,WC
str,0,less,w,0,a,young,3,CityCenter,4,LMC,aeagle,7,c,2,LMC
shtr,1,less,w,0,a,young,1,Polaris,4,LMC,sears,8,c,2,LMC
shtr,1,less,w,0,a,young,2,Easton,3,UWC,walmart,38,c,1,WC
shtr,1,less,w,0,a,young,3,CityCenter,2,MWC,ccfoodcrt,39,c,1,WC
str,0,less,w,0,b,mid,1,Polaris,5,MMC,polaris,41,g,2,LMC
shtr,1,less,w,0,b,mid,1,Polaris,4,LMC,jcpennys,42,c,2,LMC
shtr,1,less,w,0,b,mid,2,Easton,2,MWC,dollarstore,43,c,1,WC
shtr,1,less,w,0,b,mid,3,CityCenter,2,MWC,ccfoodct,44,c,1,WC
str,0,less,w,0,c,old,3,CityCenter,2,MWC,ccfoodct,45,c,1,WC
str,0,less,w,0,c,old,1,Polaris,4,LMC,sears,46,c,2,LMC
shtr,1,less,w,0,c,old,1,Polaris,4,LMC,jcpennys,47,c,2,LMC
str,0,less,w,0,c,old,2,Easton,3,UWC,meijer,48,c,1,WC
shtr,1,less,m,0,a,young,1,Polaris,4,LMC,target,49,c,2,LMC
